X	Y	D	C
834.3  	751.1  	14.859 	1
263.4  	943.5  	16.34  	1
1236   	701.7  	16.97  	1
905    	696.8  	15.011 	1
269.5  	960    	14.648 	1
520.2  	718.5  	13.625 	1
229.4  	419.7  	17.56  	1
278.5  	1087   	14.69  	1
930.8  	145.9  	17.132 	1
954    	727.5  	16.073 	1
239.8  	959    	14.93  	1
887.5  	697.4  	18.106 	1
1119   	810.5  	14.065 	1
962.2  	158    	16.88  	1
1050   	125    	16.545 	1
613.2  	741    	16.127 	1
213.6  	428.9  	14.742 	1
267.3  	816.4  	17.575 	1
505.1  	735.7  	14.77  	1
508.3  	837.4  	13.751 	1
872.9  	608.3  	15.017 	1
995.6  	992.8  	17.701 	1
238    	465.7  	13.248 	1
564.6  	566.3  	14.079 	1
209.2  	493.9  	14.226 	1
1018   	156.5  	12.496 	1
1049   	666.9  	15.679 	1
1137   	752.7  	15.272 	1
1036   	771.8  	15.395 	1
649    	899    	14.443 	1
236.3  	420.8  	14.998 	1
961.5  	187    	13.002 	1
222.5  	519.9  	15.475 	1
991.2  	771.9  	13.918 	1
246    	486.1  	16.78  	1
208.5  	498.8  	14.496 	1
893.2  	161.3  	15.645 	1
518.7  	782.3  	14.048 	1
273.8  	1076   	16.812 	1
296.4  	902.9  	15.061 	1
1101   	161.5  	17.241 	1
264.4  	1114   	17.271 	1
894.1  	141.1  	12.618 	1
282.1  	943.3  	14.799 	1
624.3  	750.3  	13.863 	1
283    	1076   	12.959 	1
1085   	179.2  	15.563 	1
988.3  	765.4  	16.071 	1
303.1  	900.5  	15.275 	1
930.3  	141.4  	16.422 	1
534.7  	579.8  	15.137 	1
449.7  	826.1  	15.075 	1
498.9  	587.6  	15.956 	1
268    	812.9  	13.824 	1
956.5  	767.3  	16.813 	1
260.7  	996.5  	18.078 	1
289.2  	902.2  	15.782 	1
284.5  	998.9  	15.113 	1
432.5  	734.4  	14.046 	1
247.6  	402.8  	13.943 	1
265.7  	920.2  	14.073 	1
581.7  	816.5  	14.006 	1
310.2  	875.4  	16.134 	1
291    	1041   	12.765 	1
537.1  	774.1  	14.865 	1
247    	926.6  	12.133 	1
529.9  	807.5  	14.228 	1
291.8  	937    	15.224 	1
889.2  	689.9  	13.955 	1
242.3  	452.8  	14.972 	1
228.1  	386.7  	15.36  	1
312.8  	888.3  	14.464 	1
949.3  	821.1  	15.047 	1
293.6  	908.2  	16.455 	1
252.9  	459    	15.061 	1
533    	650.9  	16.655 	1
500.3  	785.5  	16.231 	1
239.1  	493.4  	14.18  	1
522    	754    	13.39  	1
293.9  	945.1  	16.82  	1
596.8  	877.2  	12.375 	1
216.3  	511.1  	15.825 	1
979.3  	675.6  	16.675 	1
1105   	172    	15.111 	1
862.9  	832.7  	15.929 	1
899.8  	805.1  	14.304 	1
563.7  	767    	12.212 	1
256.1  	951.8  	16.253 	1
1080   	158.9  	16.261 	1
956.7  	762.6  	16.715 	1
1036   	913.8  	16.143 	1
312.3  	958    	15.324 	1
289.9  	951.5  	17.892 	1
549.8  	791.2  	14.544 	1
280.9  	511.3  	15.408 	1
254.2  	822.6  	15.816 	1
1064   	916.9  	16.262 	1
275.4  	980.3  	15.582 	1
1000   	163.2  	16.375 	1
234.6  	556.2  	12.672 	1
646.7  	512.7  	14.232 	1
899.1  	166.3  	13.39  	1
667.4  	725.1  	12.877 	1
878.7  	660.1  	13.109 	1
229.8  	431    	12.112 	1
1011   	846.6  	17.11  	1
965.9  	579.2  	10.954 	1
612.2  	739    	15.458 	1
856    	149.3  	17.347 	1
461.5  	819.8  	13.849 	1
330.8  	1043   	14.141 	1
517.2  	673.5  	15.108 	1
934.7  	167    	15.891 	1
1026   	162.6  	16.111 	1
503.4  	768.8  	12.804 	1
225.2  	592.2  	14.216 	1
279.4  	993.1  	13.075 	1
494.3  	798.9  	15.249 	1
423.2  	706    	16.524 	1
973.8  	168.8  	15.205 	1
1067   	147.5  	14.583 	1
889.3  	857.9  	14.856 	1
581.2  	601.6  	15.85  	1
277.8  	918.4  	15.58  	1
528.3  	820.1  	11.558 	1
568.7  	820.5  	15.681 	1
917.9  	667.3  	14.348 	1
485.5  	727.9  	14.586 	1
559    	835.4  	17.715 	1
596.4  	604.6  	14.185 	1
307.2  	1040   	15.241 	1
336.6  	1060   	17.596 	1
259.1  	486.9  	13.556 	1
211.2  	561    	13.783 	1
193    	501.1  	15.798 	1
861.3  	607.7  	13.918 	1
947.1  	157.1  	15.166 	1
213.4  	536.1  	15.535 	1
264    	859.4  	16.35  	1
253.4  	1021   	13.187 	1
988.2  	733.4  	14.614 	1
537.6  	698    	14.293 	1
881.8  	145    	14.425 	1
924.6  	147    	16.75  	1
590.8  	791    	17.462 	1
239.2  	547.1  	15.193 	1
233.7  	757.4  	16.946 	1
304.5  	824.9  	15.054 	1
247.2  	517.2  	14.349 	1
1077   	156.9  	14.812 	1
497    	874.3  	15.79  	1
