X	Y	D	C
87.1086	5.25232	3.32945	1
88.7876	18.016	3.36512	1
100.778	18.6082	3.60712	1
95.5039	10.5576	3.66155	1
99.6928	27.4539	3.69614	1
96.0173	24.549	3.82096	1
97.2456	14.6194	3.88344	1
102.334	27.6038	4.14848	1
89.249	5.23193	4.17279	1
96.1683	17.956	4.19612	1
81.5688	2.87047	4.33177	1
98.4311	27.9566	4.36115	1
98.3972	19.7827	4.36788	1
99.5137	39.1087	4.38461	1
103.751	26.6636	4.42544	1
90.6922	2.97763	4.48428	1
97.2446	14.3099	4.48647	1
103.351	32.9643	4.55316	1
97.855	37.0983	4.56492	1
96.0659	24.9221	4.63865	1
93.7597	18.6672	4.65715	1
94.9963	9.76316	4.66593	1
103.662	28.8161	4.80655	1
138.258	354.157	4.8089	1
153.293	311.14	4.92843	1
92.3262	26.8316	5.03486	1
100.861	34.2686	5.10221	1
94.6212	14.7289	5.12047	1
89.1338	20.8499	5.24155	1
133.309	354.038	5.26076	1
94.4242	12.6701	5.38885	1
90.6479	17.0872	5.46278	1
85.3448	6.3044	5.68285	1
96.5739	21.2855	5.7561	1
90.4787	5.61048	5.99354	1
89.2298	6.81331	6.01369	1
93.4307	5.11804	6.03989	1
133.889	348.575	6.04509	1
87.5844	22.2898	6.11958	1
96.7264	26.423	6.18842	1
84.8154	10.8114	6.20174	1
144.027	314.72	6.44689	1
89.3557	11.5313	6.46895	1
146.972	354.592	6.62149	1
100.235	20.5179	6.68147	1
89.228	18.107	6.70589	1
91.2436	17.9521	6.75915	1
102.371	26.6134	6.80297	1
123.945	324.763	6.81671	1
98.9773	22.3466	6.88772	1
128.738	319.315	7.0194	1
129.435	347.316	7.0791	1
101.585	24.3994	7.47306	1
88.3118	3.98319	7.51138	1
99.0537	28.6098	7.52031	1
142.924	305.686	7.54587	1
85.1524	9.45995	7.82155	1
104.209	35.5351	7.84948	1
138.61	343.446	7.86754	1
141.328	354.589	8.09566	1
138.417	309.656	8.13193	1
98.1456	31.6185	8.34153	1
101.332	27.3333	8.68422	1
98.5856	23.1761	8.79262	1
85.2954	5.33124	8.88989	1
90.2975	0.785861	9.22431	1
88.2921	18.5635	9.81016	1
112.514	345.701	10.2008	1
102.648	4.19713	10.2783	1
94.1543	29.3231	10.405	1
90.5294	13.6383	10.4116	1
149.833	357.64	10.7525	1
91.2976	26.0084	10.993	1
94.7602	29.5567	11.0928	1
131.404	336.625	11.1701	1
102.953	6.08351	11.2431	1
80.1312	11.5857	11.2824	1
83.9007	17.7013	11.337	1
113.487	5.38053	11.4174	1
91.7344	7.56804	11.4939	1
138.95	314.676	11.7143	1
99.28	29.4299	11.7293	1
142.311	9.57839	11.7435	1
90.3074	22.3017	12.4834	1
113.97	4.84499	12.5003	1
132.937	11.9289	12.552	1
100.087	357.592	12.6343	1
103.007	20.8506	12.6628	1
87.4929	334.977	12.6928	1
110.473	2.13394	12.6963	1
133.287	66.6786	12.8279	1
155.98	345.72	12.9393	1
95.3595	17.7322	13.2477	1
141.546	7.41962	13.4454	1
97.366	23.0509	13.4578	1
133.494	11.4729	13.5652	1
139.323	314.689	14.0544	1
96.2637	14.5477	14.0832	1
99.9706	335.014	14.187	1
123.943	314.185	14.2443	1
83.8694	1.01363	14.3919	1
136.487	21.0153	14.4419	1
123.015	326.769	14.4424	1
102.815	25.4578	14.4916	1
163.024	29.1849	14.6291	1
113.37	25.5607	14.6405	1
94.284	36.7248	14.8794	1
112.553	30.7606	14.9783	1
101.691	325.14	14.9872	1
175.982	205.587	14.991	1
148.081	342.158	14.9954	1
77.4012	9.21943	15.0084	1
166.212	344.731	15.1911	1
99.7129	335.545	15.2742	1
128.976	42.3814	15.3003	1
109.691	19.4472	15.3059	1
98.6754	26.1906	15.3234	1
124.66	315.623	15.4351	1
84.3006	331.705	15.4429	1
98.3141	354.516	15.6739	1
113.668	25.3734	15.8317	1
119.783	332.234	15.9773	1
145.332	333.942	16.0306	1
112.058	31.2756	16.0625	1
100.863	323.997	16.2868	1
86.1807	14.359	16.4056	1
126.833	3.36461	16.4231	1
96.6589	23.7468	16.6513	1
136.604	342.339	16.6735	1
90.82	337.204	16.7688	1
158.495	324.752	16.7888	1
136.666	63.2115	16.8228	1
99.4836	328.054	16.8845	1
