X	Y	D	C
145.015	134.578	233.655	1
106.775	108.618	147.693	1
106.53	108.037	147.267	1
155.16	344.229	130.427	1
107.404	90.5324	127.421	1
133.991	62.5352	112.825	1
160.547	277.922	97.2762	1
111.258	84.4376	96.8664	1
112.162	138.018	85.9907	1
112.188	138.221	83.0848	1
148.668	23.0778	81.1698	1
149.427	217.757	69.1068	1
145.473	232.637	68.5693	1
149.484	217.394	67.5266	1
145.55	232.979	65.5926	1
149.404	204.606	61.7796	1
149.233	204.017	58.5274	1
162.639	340.535	58.1123	1
134.149	63.6417	53.9297	1
149.318	46.1403	53.8014	1
120.989	132.004	53.0862	1
159.644	335.949	52.6688	1
131.639	67.6349	51.3572	1
110.386	154.189	50.0851	1
110.452	154.395	50.0149	1
139.806	201.315	49.7164	1
111.755	95.4058	49.2031	1
134.236	69.0367	48.9314	1
159.336	60.46	48.5504	1
122.02	129.882	48.2771	1
125.945	269.723	47.2109	1
139.663	201.282	46.2493	1
139.694	201.356	45.7795	1
129.492	254.499	45.5444	1
134.001	76.9651	45.4829	1
128.092	93.7238	45.2522	1
121.267	127.082	44.189	1
121.973	129.995	44.0551	1
158.348	132.899	43.8988	1
132.971	71.8135	43.8362	1
114.877	137.812	43.3857	1
101.213	95.0514	43.3111	1
128.439	212.216	42.7357	1
111.915	95.9689	42.689	1
110.86	93.7221	42.3587	1
115.383	149.995	42.2631	1
115.331	149.833	41.7373	1
128.365	212.505	41.6801	1
113.058	135.589	41.4585	1
153.408	60.071	41.3668	1
148.977	45.6654	40.4701	1
88.8101	131.832	40.2413	1
150.42	210.86	39.8169	1
150.555	56.9798	39.7315	1
143.95	209.181	38.2624	1
167.348	355.773	38.2212	1
109.051	105.82	38.0641	1
162.902	215.07	37.8953	1
80.7334	209.092	37.8628	1
155.99	35.2144	37.1154	1
147.458	134.249	37.1036	1
116.045	114.774	36.8768	1
76.9662	193.067	36.7594	1
158.426	133.147	36.1405	1
108.108	149.261	35.8137	1
137.304	95.4135	35.528	1
153.436	59.9111	35.5268	1
156.079	76.3418	35.3096	1
154.579	289.12	34.8414	1
95.3528	110.583	34.6597	1
114.976	241.46	34.3044	1
77.0015	192.979	34.2124	1
138.196	207.976	34.1921	1
144.323	150.945	33.8501	1
135.913	94.9449	33.826	1
108.919	105.51	33.644	1
104.388	95.9642	33.3461	1
127.263	85.1383	33.2029	1
163.159	214.918	33.0207	1
169.887	37.4205	32.9306	1
108.199	149.058	32.7985	1
126.336	138.507	32.5626	1
116.746	134.394	31.6761	1
140.486	96.3001	31.5736	1
146.502	240.11	31.2545	1
148.259	151.914	31.0163	1
151.048	183.782	30.7511	1
151.246	183.913	30.6226	1
148.39	59.3202	30.5485	1
157.139	302.305	30.5452	1
105.902	96.3106	30.5272	1
137.836	145.421	30.297	1
154.712	206.195	30.1631	1
132.26	82.0058	29.512	1
113.666	108.374	29.3774	1
121.7	85.1758	29.3456	1
129.916	87.0618	29.2257	1
102.61	130.936	28.9651	1
115.483	122.555	28.65	1
180.288	148.489	28.6354	1
130.293	126.481	28.5734	1
159.692	202.773	28.3343	1
124.917	134.23	28.2751	1
148.29	152.056	28.2539	1
148.397	151.789	28.2175	1
145.072	161.149	28.1029	1
154.501	62.795	28.0047	1
105.894	96.9715	27.8939	1
129.162	135.468	27.7649	1
130.382	126.396	27.7518	1
163.032	85.0974	27.6541	1
146.585	239.691	27.3995	1
151.064	184.013	27.111	1
113.767	108.572	27.0603	1
131.508	78.3238	26.9655	1
137.876	145.549	26.7017	1
111.431	141.029	26.6693	1
154.072	66.8094	26.6512	1
135.851	108.499	26.5372	1
82.1032	146.227	26.4267	1
141.422	78.1997	26.417	1
137.974	145.686	26.3877	1
147.864	134.514	26.2017	1
134.055	79.4166	26.1853	1
95.2245	110.806	26.1274	1
151.198	183.9	25.994	1
91.498	120.621	25.9935	1
117.004	111.401	25.8271	1
141.752	84.7673	25.7937	1
116.308	141.032	25.7407	1
150.592	166.733	25.5823	1
152.498	79.2073	25.5528	1
146.06	116.306	25.5414	1
105.27	137.093	25.4937	1
77.5251	190.833	25.3716	1
110.398	105.275	25.3075	1
159.635	216.36	25.29	1
115.827	115.025	25.2387	1
147.842	98.0347	25.1825	1
114.382	117.847	25.1202	1
130.408	105.259	25.1176	1
138.435	86.9772	25.0873	1
104.615	157.027	25.0328	1
109.047	197.043	24.9699	1
140.162	89.5655	24.8989	1
111.641	108.444	24.843	1
147.177	84.5815	24.8273	1
129.211	135.341	24.8179	1
95.1485	200.877	24.5298	1
105.732	117.573	24.4307	1
140.739	93.771	24.2788	1
105.128	205.405	24.2758	1
115.806	148.658	24.1449	1
134.493	252.244	24.0519	1
111.926	108.725	24.0084	1
114.289	148.647	23.9531	1
94.8244	192.188	23.9449	1
128.647	133.76	23.8407	1
117.367	96.1875	23.7878	1
138.088	78.7058	23.7777	1
160.249	217.707	23.7342	1
114.504	117.931	23.6652	1
154.284	62.8596	23.6167	1
134.682	81.861	23.5963	1
76.416	151.527	23.5258	1
168.788	54.9091	23.4965	1
93.2112	167.378	23.467	1
90.6051	177.319	23.4138	1
151.788	256.612	23.3888	1
169.018	74.7058	23.3124	1
133.28	126.871	23.2374	1
157.327	190.218	23.2174	1
105.028	136.701	23.1565	1
94.7765	113.165	23.1376	1
117.027	111.219	23.0811	1
114.854	127.085	22.9675	1
124.018	249.767	22.9446	1
136.676	127.931	22.9427	1
156.75	242.569	22.8327	1
114.29	127.671	22.8181	1
169.056	54.8623	22.4729	1
151.9	89.9202	22.4338	1
151.781	119.6	22.218	1
132.624	94.204	22.138	1
132.76	139.289	22.0717	1
111.865	110.579	22.0105	1
109.659	245.979	21.9578	1
111.142	133.135	21.8097	1
136.023	209.762	21.6491	1
79.028	145.157	21.5306	1
119.798	100.638	21.4965	1
150.534	166.317	21.3315	1
124.459	132.731	21.2459	1
169.113	74.8166	21.1922	1
108.815	196.881	21.1114	1
154.254	88.1046	21.0649	1
128.416	130.306	21.0417	1
130.116	223.17	20.9465	1
114.452	127.835	20.8828	1
84.6311	195.689	20.8761	1
136.727	127.917	20.8174	1
104.013	122.287	20.7563	1
107.375	119.712	20.6969	1
153.903	176.927	20.558	1
143.623	87.761	20.3575	1
136.687	105.74	20.3467	1
182.115	225.705	20.1869	1
114.819	126.734	20.0993	1
128.141	132.146	19.9484	1
157.673	189.965	19.9061	1
132.86	97.4651	19.9003	1
161.387	264.319	19.895	1
160.397	204.859	19.8668	1
157.664	191.425	19.7966	1
138.196	96.1817	19.7061	1
144.314	137.315	19.6247	1
92.5881	179.214	19.6199	1
112.063	185.415	19.5739	1
107.849	221.404	19.5709	1
135.946	209.998	19.5227	1
137.106	137.27	19.508	1
76.6932	167.31	19.4521	1
156.809	186.816	19.4112	1
152.733	172.494	19.3499	1
95.2175	200.851	19.276	1
157.492	189.957	19.2717	1
107.922	130.254	19.2235	1
123.123	99.3977	19.1406	1
92.7904	138.174	19.1364	1
170.958	197.826	19.0294	1
151.197	178.78	19.0232	1
149.192	235.405	19.0023	1
155.66	97.1044	18.9971	1
141.578	91.3444	18.975	1
138.756	89.1983	18.9613	1
109.682	155.432	18.876	1
105.685	153.197	18.8079	1
155.326	185.493	18.7967	1
182.204	225.024	18.7915	1
159.653	212.408	18.7807	1
132.428	120.347	18.7622	1
149.999	259.842	18.7617	1
153.071	154.895	18.744	1
137.984	111.612	18.7279	1
89.3984	190.718	18.7191	1
108.306	130.596	18.7056	1
131.631	147.625	18.6835	1
149.358	234.981	18.647	1
124.371	198.865	18.5195	1
134.444	238.23	18.4923	1
146.529	102.707	18.4605	1
111.248	163.095	18.4452	1
137.464	228.26	18.4363	1
169.932	242.767	18.3987	1
116.469	114.414	18.3371	1
124.739	198.359	18.3171	1
144.685	112.827	18.2187	1
123.933	155.871	18.1275	1
129.808	196.684	18.0947	1
152.567	179.521	18.0432	1
137.167	90.1523	18.0427	1
151.102	178.904	17.9828	1
131.998	253.861	17.9776	1
132.333	120.346	17.9036	1
93.1897	167.431	17.8794	1
128.343	130.16	17.8537	1
143.511	116.166	17.8459	1
109.119	173.535	17.7813	1
160.699	237.198	17.764	1
149.025	175.252	17.7419	1
87.9991	175.167	17.6031	1
92.7695	152.056	17.5697	1
101.61	174.389	17.5674	1
108.808	150.565	17.5583	1
152.514	172.403	17.5239	1
150.982	178.733	17.4705	1
